effect,obs,comp,fe,idx
0.0953249999999994,200,1,product_code,P207
0.125325,200,1,product_code,P208
-0.0146750000000004,200,1,product_code,P209
0.135324999999999,200,1,product_code,P21
0.125325,200,1,product_code,P210
0.105325,200,1,product_code,P211
0.115325,200,1,product_code,P212
0.115325,200,1,product_code,P213
0.0953249999999995,200,1,product_code,P214
0.105325,200,1,product_code,P215
0.0753249999999995,200,1,product_code,P216
0.125325,200,1,product_code,P217
0.0753249999999995,200,1,product_code,P218
0.105325,200,1,product_code,P219
0.135325,200,1,product_code,P22
0.115325,200,1,product_code,P220
0.105325,200,1,product_code,P221
0.0353249999999994,200,1,product_code,P222
0.0953249999999995,200,1,product_code,P223
0.105325,200,1,product_code,P224
0.0853249999999995,200,1,product_code,P225
0.0853249999999995,200,1,product_code,P226
0.0853249999999995,200,1,product_code,P227
0.115325,200,1,product_code,P228
0.0953249999999996,200,1,product_code,P229
0.125325,200,1,product_code,P23
0.0553249999999996,200,1,product_code,P230
-0.0046750000000004,200,1,product_code,P231
0.0553249999999996,200,1,product_code,P232
0.0953249999999994,200,1,product_code,P233
0.0153249999999995,200,1,product_code,P234
-0.0146750000000005,200,1,product_code,P235
0.0053249999999995,200,1,product_code,P236
-0.00467500000000051,200,1,product_code,P237
-0.0146750000000005,200,1,product_code,P238
-0.0646750000000005,200,1,product_code,P239
0.125325,200,1,product_code,P24
0.0553249999999995,200,1,product_code,P240
-0.104675,200,1,product_code,P241
-0.0846750000000005,200,1,product_code,P242
0.0553249999999995,200,1,product_code,P243
0.0553249999999995,200,1,product_code,P244
-0.354675000000001,200,1,product_code,P245
-0.0346750000000006,200,1,product_code,P246
0.0353249999999995,200,1,product_code,P247
0.0853249999999995,200,1,product_code,P248
-0.104675000000001,200,1,product_code,P249
0.115325,200,1,product_code,P25
0.0353249999999995,200,1,product_code,P250
0.0153249999999994,200,1,product_code,P251
-0.0946750000000005,200,1,product_code,P252
0.0153249999999994,200,1,product_code,P253
-0.114675000000001,200,1,product_code,P254
0.0653249999999996,200,1,product_code,P255
0.0553249999999995,200,1,product_code,P256
-0.0346750000000005,200,1,product_code,P257
0.0453249999999995,200,1,product_code,P258
0.0353249999999995,200,1,product_code,P259
0.125325,200,1,product_code,P26
0.0353249999999995,200,1,product_code,P260
-0.0146750000000005,200,1,product_code,P261
-0.0246750000000006,200,1,product_code,P262
-0.0146750000000005,200,1,product_code,P263
-0.0446750000000005,200,1,product_code,P264
-0.284675,200,1,product_code,P265
0.0753249999999995,200,1,product_code,P266
0.0353249999999994,200,1,product_code,P267
-0.0946750000000005,200,1,product_code,P268
0.0553249999999996,200,1,product_code,P269
0.125325,200,1,product_code,P27
-0.0646750000000006,200,1,product_code,P270
-0.0146750000000005,200,1,product_code,P271
0.0253249999999995,200,1,product_code,P272
0.0253249999999994,200,1,product_code,P273
0.00532499999999947,200,1,product_code,P274
0.00532499999999953,200,1,product_code,P275
-0.104675,200,1,product_code,P276
0.0853249999999995,200,1,product_code,P277
-0.00467500000000043,200,1,product_code,P278
0.0353249999999996,200,1,product_code,P279
0.115325,200,1,product_code,P28
0.0853249999999995,200,1,product_code,P280
0.0053249999999995,200,1,product_code,P281
-0.0746750000000005,200,1,product_code,P282
0.0753249999999995,200,1,product_code,P283
-0.00467500000000054,200,1,product_code,P284
0.0253249999999995,200,1,product_code,P285
0.0253249999999995,200,1,product_code,P286
-0.0346750000000005,200,1,product_code,P287
-0.0246750000000005,200,1,product_code,P288
0.0353249999999996,200,1,product_code,P289
0.135325,200,1,product_code,P29
0.0553249999999995,200,1,product_code,P290
-0.0546750000000005,200,1,product_code,P291
0.0453249999999995,200,1,product_code,P292
-0.0746750000000004,200,1,product_code,P293
0.0753249999999995,200,1,product_code,P294
0.0553249999999995,200,1,product_code,P295
-0.184675000000001,200,1,product_code,P296
0.0153249999999995,200,1,product_code,P297
-0.0146750000000004,200,1,product_code,P298
-0.0346750000000005,200,1,product_code,P299
0.125325,200,1,product_code,P3
0.0853249999999995,200,1,product_code,P30
-0.0846750000000004,200,1,product_code,P300
0.0153249999999996,200,1,product_code,P301
0.0053249999999995,200,1,product_code,P302
-0.0246750000000005,200,1,product_code,P303
0.0453249999999995,200,1,product_code,P304
0.0553249999999995,200,1,product_code,P305
0.00532499999999944,200,1,product_code,P306
-0.0146750000000004,200,1,product_code,P307
-0.124675,200,1,product_code,P308
0.0753249999999994,200,1,product_code,P309
0.125325,200,1,product_code,P31
-0.334675000000001,200,1,product_code,P310
0.0953249999999996,200,1,product_code,P311
0.00532499999999947,200,1,product_code,P312
-0.0646750000000005,200,1,product_code,P313
