year,exporter,population,eci,dist_from_ccp,dist_from_cp
1962,TWN,0.0,0.897668719291687,0.0,1.254728803236088
1962,VNM,36123000.0,-0.4354678988456726,0.0,0.7492092170210811
1962,BRN,89516.0,-0.29300907254219055,0.0,0.46642257508836504
1962,CHN,665769984.0,0.805427610874176,0.0,1.4003109742587414
1962,CRI,1432585.0,-0.6054517030715942,0.0,0.4692146606032718
1962,GNQ,262590.0,0.6706106662750244,0.0,0.32699090630054206
1962,GTM,4464249.0,-1.184565782546997,0.0,0.6018700150824793
1962,HND,2155652.0,-0.7864869236946106,0.0,0.3155241877388744
1962,HUN,10061734.0,1.3098753690719604,0.0,2.116349381717057
1962,IND,467852544.0,0.06301745772361755,1.3148461933135243,1.12283615669892
1962,KEN,8628972.0,-0.541444718837738,0.0,1.0634850567464507
1962,LKA,10443000.0,-0.8963910341262817,0.0,0.6582274607637906
