effect,obs,comp,fe,idx
0.4523375,200,1,product_code,P214
0.4473375,200,1,product_code,P215
0.4623375,200,1,product_code,P216
0.4373375,200,1,product_code,P217
0.4623375,200,1,product_code,P218
0.4473375,200,1,product_code,P219
0.4323375,200,1,product_code,P22
0.4423375,200,1,product_code,P220
0.4473375,200,1,product_code,P221
0.4823375,200,1,product_code,P222
0.4523375,200,1,product_code,P223
0.4473375,200,1,product_code,P224
0.4573375,200,1,product_code,P225
0.4573375,200,1,product_code,P226
0.4573375,200,1,product_code,P227
0.4423375,200,1,product_code,P228
0.4523375,200,1,product_code,P229
0.4373375,200,1,product_code,P23
0.4723375,200,1,product_code,P230
0.5023375,200,1,product_code,P231
0.4723375,200,1,product_code,P232
0.4523375,200,1,product_code,P233
0.4923375,200,1,product_code,P234
0.5073375,200,1,product_code,P235
0.4973375,200,1,product_code,P236
0.5023375,200,1,product_code,P237
0.5073375,200,1,product_code,P238
0.5323375,200,1,product_code,P239
0.4373375,200,1,product_code,P24
0.4723375,200,1,product_code,P240
0.5523375,200,1,product_code,P241
0.5423375,200,1,product_code,P242
0.4723375,200,1,product_code,P243
0.4723375,200,1,product_code,P244
0.6773375,200,1,product_code,P245
0.5173375,200,1,product_code,P246
0.4823375,200,1,product_code,P247
0.4573375,200,1,product_code,P248
0.5523375,200,1,product_code,P249
0.4423375,200,1,product_code,P25
0.4823375,200,1,product_code,P250
0.4923375,200,1,product_code,P251
0.5473375,200,1,product_code,P252
0.4923375,200,1,product_code,P253
0.5573375,200,1,product_code,P254
0.4673375,200,1,product_code,P255
0.4723375,200,1,product_code,P256
0.5173375,200,1,product_code,P257
0.4773375,200,1,product_code,P258
0.4823375,200,1,product_code,P259
0.4373375,200,1,product_code,P26
0.4823375,200,1,product_code,P260
0.5073375,200,1,product_code,P261
0.5123375,200,1,product_code,P262
0.5073375,200,1,product_code,P263
0.5223375,200,1,product_code,P264
0.6423375,200,1,product_code,P265
0.4623375,200,1,product_code,P266
0.4823375,200,1,product_code,P267
0.5473375,200,1,product_code,P268
0.4723375,200,1,product_code,P269
0.4373375,200,1,product_code,P27
0.5323375,200,1,product_code,P270
0.5073375,200,1,product_code,P271
0.4873375,200,1,product_code,P272
0.4873375,200,1,product_code,P273
0.4973375,200,1,product_code,P274
0.4973375,200,1,product_code,P275
0.5523375,200,1,product_code,P276
0.4573375,200,1,product_code,P277
0.5023375,200,1,product_code,P278
0.4823375,200,1,product_code,P279
0.4423375,200,1,product_code,P28
0.4573375,200,1,product_code,P280
0.4973375,200,1,product_code,P281
0.5373375,200,1,product_code,P282
0.4623375,200,1,product_code,P283
0.5023375,200,1,product_code,P284
0.4873375,200,1,product_code,P285
0.4873375,200,1,product_code,P286
0.5173375,200,1,product_code,P287
0.5123375,200,1,product_code,P288
0.4823375,200,1,product_code,P289
0.4323375,200,1,product_code,P29
0.4723375,200,1,product_code,P290
0.5273375,200,1,product_code,P291
0.4773375,200,1,product_code,P292
0.5373375,200,1,product_code,P293
0.4623375,200,1,product_code,P294
0.4723375,200,1,product_code,P295
0.5923375,200,1,product_code,P296
0.4923375,200,1,product_code,P297
0.5073375,200,1,product_code,P298
0.5173375,200,1,product_code,P299
0.4373375,200,1,product_code,P3
0.4573375,200,1,product_code,P30
0.5423375,200,1,product_code,P300
0.4923375,200,1,product_code,P301
0.4973375,200,1,product_code,P302
0.5123375,200,1,product_code,P303
0.4773375,200,1,product_code,P304
0.4723375,200,1,product_code,P305
0.4973375,200,1,product_code,P306
0.5073375,200,1,product_code,P307
0.5623375,200,1,product_code,P308
